Index,N.Processes,N.Threads,N.Characters,Read File,Parse Header,Parse Huffman Tree,Parse Block Lengths,Calculate Block Range,Decode Single Text,Merge Decoded Texts,
61,4,12,0,0.002116441727,8.273124695e-05,7.057189941e-05,0.0001266002655,1.502037048e-05,0.01082992554,0.1635603905,
62,4,13,0,0.002440452576,0.0001051425934,6.127357483e-05,0.0001404285431,1.573562622e-05,0.01061987877,0.09460663795,
63,4,14,0,0.00306725502,0.0001010894775,7.247924805e-05,0.0001113414764,6.914138794e-06,0.01063227654,0.00648188591,
64,4,15,0,0.002217531204,8.749961853e-05,7.486343384e-05,5.078315735e-05,5.722045898e-06,0.0106151104,0.1052954197,
65,4,16,0,0.003182411194,0.0001037120819,6.079673767e-05,0.0001418590546,3.027915955e-05,0.01092982292,0.06894350052,
66,5,1,0,0.002505302429,8.773803711e-05,6.008148193e-05,0.0001709461212,1.525878906e-05,0.008879184723,0.08078384399,
67,5,2,0,0.002192974091,7.176399231e-05,4.196166992e-05,5.388259888e-05,5.722045898e-06,0.008585929871,0.08632087708,
68,5,3,0,0.003836154938,9.202957153e-05,6.079673767e-05,0.0001397132874,5.960464478e-06,0.008483886719,0.1436479092,
69,5,4,0,0.003657817841,8.821487427e-05,2.288818359e-05,5.221366882e-05,5.960464478e-06,0.008515834808,0.09444689751,
70,5,5,0,0.003483295441,8.249282837e-05,6.031990051e-05,0.0001728534698,1.549720764e-05,0.008639097214,0.03930020332,
71,5,6,0,0.002661466599,8.893013e-05,7.128715515e-05,0.000125169754,1.59740448e-05,0.008865833282,0.1222128868,
72,5,7,0,0.003709316254,9.036064148e-05,6.532669067e-05,0.0001621246338,5.722045898e-06,0.008462905884,0.0678153038,
73,5,8,0,0.002557277679,7.319450378e-05,6.890296936e-05,0.0001392364502,6.675720215e-06,0.008394479752,0.05651760101,
74,5,9,0,0.003887891769,0.0001063346863,6.246566772e-05,0.000186920166,5.960464478e-06,0.008551597595,0.005759716034,
75,5,10,0,0.002451658249,8.654594421e-05,5.93662262e-05,0.0001389980316,5.483627319e-06,0.008497476578,0.1467285156,
76,5,11,0,0.004017829895,8.773803711e-05,6.031990051e-05,0.0001246929169,5.483627319e-06,0.008472442627,0.005745172501,
77,5,12,0,0.00254034996,8.630752563e-05,5.93662262e-05,0.0001330375671,1.621246338e-05,0.008706569672,0.03540802002,
78,5,13,0,0.002198219299,4.076957703e-05,2.455711365e-05,5.507469177e-05,5.24520874e-06,0.008829593658,0.1079702377,
79,5,14,0,0.003074645996,6.175041199e-05,2.336502075e-05,5.269050598e-05,5.960464478e-06,0.008559703827,0.06968617439,
80,5,15,0,0.00343298912,4.053115845e-05,2.384185791e-05,6.151199341e-05,5.722045898e-06,0.009023666382,0.0393435955,
81,5,16,0,0.002672672272,0.0001020431519,6.127357483e-05,0.0001413822174,6.198883057e-06,0.008508205414,0.06423068047,
82,6,1,0,0.003389120102,8.821487427e-05,6.151199341e-05,0.0001811981201,1.549720764e-05,0.007214307785,0.07304239273,
